datetimeFC,forecast,p_battery,p_net_demand,soc_battery,pb_nom,pb_discharge_max,pb_charge_max,delta_t,soc_min,soc_max,efficiency,soc_ini,p_net_threshold,mpc_window
2021-07-23 13:00:00+00:00,3.9171174316,-1.4667019414,2.4504154902,0.5,15,4,6,0.25,0.1,0.9,1,0.5,5,96
2021-07-23 13:15:00+00:00,4.0178300781,-1.5796406397,2.4381894384000002,0.47555496760000004,15,4,6,0.25,0.1,0.9,1,0.47555496760000004,5,96
2021-07-23 13:30:00+00:00,4.077342041,-1.6670947763,2.4102472647,0.47555496760000004,15,4,6,0.25,0.1,0.9,1,0.47555496760000004,5,96
2021-07-23 13:45:00+00:00,4.058501709,-1.656993898,2.401507811,0.44777005470000003,15,4,6,0.25,0.1,0.9,1,0.44777005470000003,5,96
2021-07-23 14:00:00+00:00,4.0303061523,-1.6342522564,2.3960538959,0.4201534897,15,4,6,0.25,0.1,0.9,1,0.4201534897,5,96
2021-07-23 14:15:00+00:00,4.0663789062,-1.6737045533,2.3926743529,0.3929159521,15,4,6,0.25,0.1,0.9,1,0.3929159521,5,96
2021-07-23 14:30:00+00:00,3.5647028809,-1.1761310598,2.3885718211,0.3650208762,15,4,6,0.25,0.1,0.9,1,0.3650208762,5,96
2021-07-23 14:45:00+00:00,3.9647189941,-1.5791069904000001,2.3856120037,0.3454186919,15,4,6,0.25,0.1,0.9,1,0.3454186919,5,96
2021-07-23 15:00:00+00:00,4.1227055664,-1.7469211677,2.3757843987,0.3191002421,15,4,6,0.25,0.1,0.9,1,0.3191002421,5,96
2021-07-23 15:15:00+00:00,4.1472792969,-1.7808108028,2.3664684941,0.2899848893,15,4,6,0.25,0.1,0.9,1,0.2899848893,5,96
2021-07-23 15:30:00+00:00,4.041798584,-1.6843657109999999,2.357432873,0.2603047092,15,4,6,0.25,0.1,0.9,1,0.2603047092,5,96
2021-07-23 15:45:00+00:00,3.9478820801000003,-1.5948965217,2.3529855584,0.2322319474,15,4,6,0.25,0.1,0.9,1,0.2322319474,5,96
2021-07-23 16:00:00+00:00,1.6707241211000001,0.6784211155000001,2.3491452366,0.20565033870000002,15,4,6,0.25,0.1,0.9,1,0.20565033870000002,5,96
2021-07-23 16:15:00+00:00,1.4325637207000002,0.9133468379,2.3459105586,0.21695735730000001,15,4,6,0.25,0.1,0.9,1,0.21695735730000001,5,96
2021-07-23 16:30:00+00:00,1.5186350098,0.8214081747,2.3400431845,0.2321798046,15,4,6,0.25,0.1,0.9,1,0.2321798046,5,96
2021-07-23 16:45:00+00:00,1.8079284668,0.5342562557,2.3421847225,0.2321798046,15,4,6,0.25,0.1,0.9,1,0.2321798046,5,96
2021-07-23 17:00:00+00:00,1.7089768066,0.6285462998,2.3375231064,0.24108407550000002,15,4,6,0.25,0.1,0.9,1,0.24108407550000002,5,96
2021-07-23 17:15:00+00:00,1.8881516113,0.4428925683,2.3310441796,0.2515598472,15,4,6,0.25,0.1,0.9,1,0.2515598472,5,96
2021-07-23 17:30:00+00:00,1.9528074951,0.3767921302,2.3295996253,0.2515598472,15,4,6,0.25,0.1,0.9,1,0.2515598472,5,96
2021-07-23 17:45:00+00:00,1.9925697021,0.3314848959,2.324054598,0.257839716,15,4,6,0.25,0.1,0.9,1,0.257839716,5,96
2021-07-23 18:00:00+00:00,2.0294262695,0.2928710775,2.322297347,0.257839716,15,4,6,0.25,0.1,0.9,1,0.257839716,5,96
2021-07-23 18:15:00+00:00,2.045345459,0.27260157620000003,2.3179470352,0.26272090060000003,15,4,6,0.25,0.1,0.9,1,0.26272090060000003,5,96
2021-07-23 18:30:00+00:00,2.0196838379,0.2952376102,2.3149214481,0.2672642602,15,4,6,0.25,0.1,0.9,1,0.2672642602,5,96
2021-07-23 18:45:00+00:00,2.0296436768,0.2817771837,2.3114208605,0.2721848871,15,4,6,0.25,0.1,0.9,1,0.2721848871,5,96
2021-07-23 19:00:00+00:00,2.0400390625,0.2679931385,2.308032201,0.2768811735,15,4,6,0.25,0.1,0.9,1,0.2768811735,5,96
2021-07-23 19:15:00+00:00,2.0739265137,0.23358320700000001,2.3075097207,0.2768811735,15,4,6,0.25,0.1,0.9,1,0.2768811735,5,96
2021-07-23 19:30:00+00:00,2.0606853027,0.2435727962,2.3042580989,0.28077422690000003,15,4,6,0.25,0.1,0.9,1,0.28077422690000003,5,96
2021-07-23 19:45:00+00:00,2.0606853027,0.2430578797,2.3037431824,0.28077422690000003,15,4,6,0.25,0.1,0.9,1,0.28077422690000003,5,96
2021-07-23 20:00:00+00:00,2.0606853027,0.23975030100000003,2.3004356037,0.2848337735,15,4,6,0.25,0.1,0.9,1,0.2848337735,5,96
2021-07-23 20:15:00+00:00,2.086177002,0.2111291965,2.2973061985,0.2888296119,15,4,6,0.25,0.1,0.9,1,0.2888296119,5,96
2021-07-23 20:30:00+00:00,2.0721655273,0.22435742490000002,2.2965229522,0.2888296119,15,4,6,0.25,0.1,0.9,1,0.2888296119,5,96
2021-07-23 20:45:00+00:00,2.0958967285,0.1976287994,2.2935255279,0.2925689023,15,4,6,0.25,0.1,0.9,1,0.2925689023,5,96
2021-07-23 21:00:00+00:00,2.2452312012,0.0451035741,2.2903347753,0.2958627156,15,4,6,0.25,0.1,0.9,1,0.2958627156,5,96
2021-07-23 21:15:00+00:00,2.6696420898,-0.3824645084,2.2871775814,0.2966144418,15,4,6,0.25,0.1,0.9,1,0.2966144418,5,96
2021-07-23 21:30:00+00:00,2.7578845215000003,-0.47383086160000004,2.2840536599,0.2902400334,15,4,6,0.25,0.1,0.9,1,0.2902400334,5,96
2021-07-23 21:45:00+00:00,2.8912861328,-0.6100986584,2.2811874744000002,0.2823428523,15,4,6,0.25,0.1,0.9,1,0.2823428523,5,96
2021-07-23 22:00:00+00:00,2.9686894531,-0.6967600647000001,2.2719293884000002,0.2823428523,15,4,6,0.25,0.1,0.9,1,0.2823428523,5,96
2021-07-23 22:15:00+00:00,3.0133288574,-0.7441475423,2.2691813151,0.27073018460000003,15,4,6,0.25,0.1,0.9,1,0.27073018460000003,5,96
2021-07-23 22:30:00+00:00,2.4086914062,-0.142219708,2.2664716982,0.2583277256,15,4,6,0.25,0.1,0.9,1,0.2583277256,5,96
2021-07-23 22:45:00+00:00,2.4056647949,-0.14181581740000002,2.2638489775,0.2559573971,15,4,6,0.25,0.1,0.9,1,0.2559573971,5,96
